"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Nigeria","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","29","3"
"Nigeria","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","29","3"
"Panama","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","10","1"
"Panama","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","4","1"
"Panama","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","7","1"
"Paraguay","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","17","3"
"Paraguay","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","12","3"
"Paraguay","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","15","3"
"Peru","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","31","1"
"Peru","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","36","1"
"Peru","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","34","1"
"Portugal","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","4","1"
"Portugal","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","3","1"
"Portugal","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","3","1"
"Republic of Moldova","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","20","3"
"Republic of Moldova","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","12","3"
"Republic of Moldova","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","16","3"
"Romania","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","1","3"
"Romania","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","1","3"
"Romania","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","1","3"
"Rwanda","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","36","3"
"Rwanda","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","35","3"
"Rwanda","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","35","3"
"Sao Tome and Principe","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","8","3"
"Sao Tome and Principe","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","7","3"
"Sao Tome and Principe","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","8","3"
"Senegal","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","24","3"
"Senegal","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","21","3"
"Senegal","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","22","3"
"Serbia","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","5","3"
"Serbia","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","4","3"
"Serbia","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","4","3"
"Sierra Leone","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","3"
"Sierra Leone","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","48","3"
"Sierra Leone","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","48","3"
"Somalia","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","45","3"
"Somalia","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","54","3"
"Somalia","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","3"
"South Asia","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","13","2"
"South Asia","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","12","2"
"South Asia","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","13","2"
"South Sudan","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","14","5"
"South Sudan","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","12","5"
"South Sudan","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","13","5"
"Sub-Saharan Africa","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","33","2"
"Sub-Saharan Africa","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","32","2"
"Sub-Saharan Africa","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","32","2"
"Sudan","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","14","5"
"Sudan","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","12","5"
"Sudan","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","13","5"
"Suriname","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","7","3"
"Suriname","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","5","3"
"Suriname","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","6","3"
"Swaziland","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","9","3"
"Swaziland","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","9","3"
"Swaziland","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","9","3"
"Syrian Arab Republic","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","5","3"
"Syrian Arab Republic","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","3","3"
"Syrian Arab Republic","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","4","3"
"Tajikistan","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","9","3"
"Tajikistan","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","11","3"
"Tajikistan","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","10","3"
"Thailand","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","8","3"
"Thailand","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","8","3"
"Thailand","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","8","3"
"The former Yugoslav Republic of Macedonia","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","7","3"
"The former Yugoslav Republic of Macedonia","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","5","3"
"The former Yugoslav Republic of Macedonia","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","6","3"
"Timor-Leste","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","4","3"
"Timor-Leste","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","4","3"
"Timor-Leste","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","4","3"
"Togo","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","44","3"
"Togo","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","3"
"Togo","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","47","3"
"Trinidad and Tobago","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","1","3"
"Trinidad and Tobago","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","1","3"
"Trinidad and Tobago","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","1","3"
"Turkey","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","3","1"
"Turkey","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","2","1"
"Turkey","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","3","1"
"Uganda","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","27","1"
"Uganda","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","24","1"
"Uganda","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","25","1"
"Ukraine","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","8","3"
"Ukraine","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","7","3"
"Ukraine","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","7","3"
"United Republic of Tanzania","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","23","1"
"United Republic of Tanzania","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","19","1"
"United Republic of Tanzania","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","21","1"
"Uruguay","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","8","1"
"Uruguay","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","8","1"
"Uruguay","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","8","1"
"Venezuela (Bolivarian Republic of)","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","9","3"
"Venezuela (Bolivarian Republic of)","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","6","3"
"Venezuela (Bolivarian Republic of)","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","8","3"
"Viet Nam","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","15","3"
"Viet Nam","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","16","3"
"Viet Nam","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","16","3"
"Western and Central Africa","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","33","2"
"Western and Central Africa","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","35","2"
"Western and Central Africa","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","34","2"
"World","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","17","4"
"World","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","16","4"
"World","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","17","4"
"Yemen","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","21","3"
"Yemen","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","24","3"
"Yemen","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","23","3"
"Zambia","Male 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","42","1"
"Zambia","Female 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","40","1"
"Zambia","Total 5-14 yr","2000-2010","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","41","1"

"fnSeqID","Footnote"
"1","Data refer to the most recent year available during the period specified in the column heading. Data differ from the standard definition or refer to only part of a country. Such data are included in the calculation of regional and global averages."
"2","Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX."
"3","Data refer to the most recent year available during the period specified in the column heading."
"4","Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX. Excludes China."
"5","Data refer to the most recent year available during the period specified in the column heading. Because of the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the United Nations on 14 July 2011, disaggregated data for the Sudan and South Sudan as separate States are not yet available for most indicators. Aggregated data presented are for the Sudan pre-cession (see Memorandum item)."
